id,subject,predicate,object,source,confidence,score,is_sr
36,academic/wiki/papers/D002-2010-ltrg,核心方法,无限时间演化分块删截,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
37,academic/wiki/papers/D002-2010-ltrg,研究基础,转移矩阵张量网络,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
38,academic/wiki/papers/D002-2010-ltrg,应用于,一维XY自旋链,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
39,academic/wiki/papers/D002-2010-ltrg,应用于,蜂巢晶格上海森堡反铁磁体,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
40,academic/wiki/papers/D002-2010-ltrg,研究基础,热力学量,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
41,academic/wiki/papers/D002-2010-ltrg,对比方法,二维转移网络直接粗粒化,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
42,LTRG,基于,无限时间演化分块删截,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
43,LTRG,替代,二维转移网络直接粗粒化,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
44,academic/wiki/papers/D003-2012-spin-1-chain-闫,来源,academic/raw/references/D003-2012-spin-1-chain-闫/paper,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md,可追溯,,0
45,academic/wiki/papers/D003-2012-spin-1-chain-闫,发表于,Phys. Rev. B,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
46,Xin Yan,第一作者,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
47,Wei Li,作者,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
48,Yang Zhao,作者,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
49,Shi-Ju Ran,作者,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
50,Gang Su,作者,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
51,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心方法,无限时间演化分块删截,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
52,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心方法,LTRG,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
53,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心方法,DMRG,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
54,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,自旋-1键交错海森堡反铁磁链,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
55,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,单离子各向异性,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
56,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,纵场与横场下的塞曼项,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
57,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,纵场下量子临界区对应中心荷c=1的共形场论普适类,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
58,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,横场下量子临界区对应中心荷c=1/2的共形场论普适类,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
59,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,纵场α-hz平面基态相图包含单态二聚体相、Haldane相、TLL相、m=1/2磁化平台相与自旋极化相,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
60,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,横场基态相图中Z2对称性破缺相的识别,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
61,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,横场下交错磁化出现再入行为,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
62,academic/wiki/papers/D003-2012-spin-1-chain-闫,对比方法,Haldane,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
63,academic/wiki/papers/D003-2012-spin-1-chain-闫,核心创新点,对NTENP纵场与横场实验数据同时拟合确定材料参数,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
64,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,NTENP化合物实验数据,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
65,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,纠缠熵标定中心荷,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
66,academic/wiki/papers/D003-2012-spin-1-chain-闫,研究基础,判据,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
67,纠缠熵,基于,中心荷标定,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
68,无限时间演化分块删截,结合,LTRG,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
69,LTRG,结合,DMRG,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,可追溯,,0
70,纠缠熵标定中心荷,包含,纠缠熵,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md,推断,,0
71,纵场α-hz平面基态相图包含单态二聚体相、Haldane相、TLL相、m=1/2磁化平台相与自旋极化相,包含,Haldane,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md,推断,,0
72,对NTENP纵场与横场实验数据同时拟合确定材料参数,包含,NTENP化合物实验数据,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md,推断,,0
73,academic/wiki/papers/D004-2012-odtns,来源,academic/raw/references/D004-2012-odtns/paper,raw-not-distributed/D004-2012-odtns/paper.md,可追溯,,0
74,academic/wiki/papers/D004-2012-odtns,发表于,Phys. Rev. B,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
75,Shi-Ju Ran,第一作者,academic/wiki/papers/D004-2012-odtns,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
76,Wei Li,作者,academic/wiki/papers/D004-2012-odtns,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
77,Bin Xi,作者,academic/wiki/papers/D004-2012-odtns,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
78,Zhe Zhang,作者,academic/wiki/papers/D004-2012-odtns,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
79,Gang Su,作者,academic/wiki/papers/D004-2012-odtns,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
80,academic/wiki/papers/D004-2012-odtns,核心方法,二维量子模型映射为三维闭合张量网络,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
81,二维量子模型映射为三维闭合张量网络,拆分,二维量子模型,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
82,二维量子模型映射为三维闭合张量网络,拆分,三维闭合张量网络,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
83,二维量子模型映射为三维闭合张量网络,拆分,有限温度密度算符,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
84,三维闭合张量网络,表示,有限温度密度算符,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
85,academic/wiki/papers/D004-2012-odtns,核心创新点,NTD,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
86,NTD,基于,Tucker分解,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
87,NTD,推广,Tucker分解,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
88,academic/wiki/papers/D004-2012-odtns,核心方法,NTD,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
89,academic/wiki/papers/D004-2012-odtns,研究基础,TPDO,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
90,academic/wiki/papers/D004-2012-odtns,研究基础,三维砖墙张量网络,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
91,academic/wiki/papers/D004-2012-odtns,研究基础,PEPS,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
92,academic/wiki/papers/D004-2012-odtns,研究基础,TTN,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
93,academic/wiki/papers/D004-2012-odtns,研究基础,MERA,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
94,academic/wiki/papers/D004-2012-odtns,研究基础,TRG,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
95,academic/wiki/papers/D004-2012-odtns,研究基础,DMRG,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
96,academic/wiki/papers/D004-2012-odtns,对比方法,量子蒙特卡洛,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
97,academic/wiki/papers/D004-2012-odtns,核心方法,超正交化,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
98,academic/wiki/papers/D004-2012-odtns,应用于,蜂窝格自旋海森堡反铁磁体,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
99,academic/wiki/papers/D004-2012-odtns,扩展,双层蜂窝格阻挫模型,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
100,academic/wiki/papers/D004-2012-odtns,未来展望,推广至二维关联电子系统,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
101,academic/wiki/papers/D004-2012-odtns,优势体现,不受负符号问题困扰,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
102,无限投影纠缠对态,属于,二维张量网络方法,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
103,NTD,应用于,键空间最优低维近似,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
104,academic/wiki/papers/D004-2012-odtns,局限性,虚时方向线性收缩,raw-not-distributed/D004-2012-odtns/wiki.md#semantic,可追溯,,0
105,二维量子模型映射为三维闭合张量网络,包含,二维量子模型,raw-not-distributed/D004-2012-odtns/paper.md,推断,,0
106,二维量子模型映射为三维闭合张量网络,包含,三维闭合张量网络,raw-not-distributed/D004-2012-odtns/paper.md,推断,,0
107,NTD,包含,Tucker分解,raw-not-distributed/D004-2012-odtns/paper.md,推断,,0
108,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,来源,academic/raw/references/D005-2014-zhaoyanghoneycombladder/paper,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/paper.md,可追溯,,0
109,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,发表于,EPL,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
110,Yang Zhao,第一作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
111,Wei Li,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
112,Bin Xi,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
113,Shi-Ju Ran,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
114,Yuan-Yuan Zhu,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
115,Bing-Wu Wang,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
116,Song Gao,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
117,Gang Su,作者,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
118,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,研究基础,自旋梯spin ladder,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
119,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,研究基础,方型自旋梯,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
120,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,研究基础,spin-,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
121,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心方法,玻色化bosonization,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
122,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心方法,量子蒙特卡洛,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
123,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心方法,无限张量纠缠态演化iTEBD,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
124,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心方法,LTRG,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
125,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心创新点,在蜂窝梯中发现方型梯中不存在的强相关项,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
126,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心创新点,在蜂窝梯中发现半饱和磁化平台,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
127,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心创新点,解释半饱和磁化平台归因于稀释二聚体态,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
128,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,对比方法,方型自旋梯,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
129,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,应用于,Cu2L1(N3)4 n,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
130,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,核心方法,液体,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
131,Cu2L1(N3)4 n,属于,双腿蜂窝自旋梯,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
132,Cu2L1(N3)4 n,所属,spin-,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
133,spin-,对比,方型自旋梯,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/wiki.md#semantic,可追溯,,0
134,spin-,包含,双腿蜂窝自旋梯,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/paper.md,推断,,0
135,academic/wiki/papers/D006-2013-ncd-physrevb88064407,来源,academic/raw/references/D006-2013-ncd-physrevb88064407/paper,raw-not-distributed/D006-2013-ncd-physrevb88064407/paper.md,可追溯,,0
136,academic/wiki/papers/D006-2013-ncd-physrevb88064407,发表于,Phys. Rev. B,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
137,Shi-Ju Ran,第一作者,academic/wiki/papers/D006-2013-ncd-physrevb88064407,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
138,Bin Xi,作者,academic/wiki/papers/D006-2013-ncd-physrevb88064407,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
139,Tao Liu,作者,academic/wiki/papers/D006-2013-ncd-physrevb88064407,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
140,Gang Su,作者,academic/wiki/papers/D006-2013-ncd-physrevb88064407,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
141,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心方法,NCD,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
142,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心方法,ITSA,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
143,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心方法,TNS,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
144,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心方法,TPDO,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
145,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心创新点,引入准纠缠熵、李雅普诺夫指数和环路特征三个非局域量探测相变,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
146,academic/wiki/papers/D006-2013-ncd-physrevb88064407,核心创新点,基于秩1分解将配分函数无限网络收缩化为局部cell张量收缩,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
147,academic/wiki/papers/D006-2013-ncd-physrevb88064407,研究基础,秩分解,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
148,academic/wiki/papers/D006-2013-ncd-physrevb88064407,研究基础,配分函数,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
149,academic/wiki/papers/D006-2013-ncd-physrevb88064407,研究基础,张量网络,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
150,academic/wiki/papers/D006-2013-ncd-physrevb88064407,应用于,二维模型,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
151,academic/wiki/papers/D006-2013-ncd-physrevb88064407,应用于,spin-,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
152,academic/wiki/papers/D006-2013-ncd-physrevb88064407,对比方法,量子蒙特卡洛,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
153,academic/wiki/papers/D006-2013-ncd-physrevb88064407,对比方法,精确解,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
154,academic/wiki/papers/D006-2013-ncd-physrevb88064407,局限性,截断误差随舍弃权重引入,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
155,academic/wiki/papers/D006-2013-ncd-physrevb88064407,局限性,Trotter-Suzuki分解误差受虚时间片限制,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
156,academic/wiki/papers/D006-2013-ncd-physrevb88064407,未来展望,推广至任意张量网络可表示的经典或量子格点系统,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
157,NCD,基于,TNS,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
158,NCD,基于,秩分解,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
159,NCD,改进,矩阵乘积态直接演化,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
160,ITSA,结合,NCD,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
161,ITSA,替代,量子蒙特卡洛,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
162,TPDO,属于,TNS,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
163,准纠缠熵,探索,热力学相变,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
164,李雅普诺夫指数,探索,热力学相变,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
165,环路特征,探索,热力学相变,raw-not-distributed/D006-2013-ncd-physrevb88064407/wiki.md#semantic,可追溯,,0
166,引入准纠缠熵、李雅普诺夫指数和环路特征三个非局域量探测相变,包含,纠缠熵,raw-not-distributed/D006-2013-ncd-physrevb88064407/paper.md,推断,,0
167,基于秩1分解将配分函数无限网络收缩化为局部cell张量收缩,包含,配分函数,raw-not-distributed/D006-2013-ncd-physrevb88064407/paper.md,推断,,0
168,推广至任意张量网络可表示的经典或量子格点系统,包含,张量网络,raw-not-distributed/D006-2013-ncd-physrevb88064407/paper.md,推断,,0
169,academic/wiki/papers/D007-2013-kt-phase,来源,academic/raw/references/D007-2013-kt-phase/paper,raw-not-distributed/D007-2013-kt-phase/paper.md,可追溯,,0
170,Yang Zhao,第一作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
171,Wei Li,作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
172,Bin Xi,作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
173,Zhe Zhang,作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
174,Xin Yan,作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
175,Shi-Ju Ran,作者,academic/wiki/papers/D007-2013-kt-phase,raw-not-distributed/D007-2013-kt-phase/wiki.md#semantic,可追溯,,0
