run_id,sequence_index,entry_id,work_id,decision,role,related_to,publication_year,title,doi,canonical_pdf_sha256,formal_publication_signal,publication_evidence,venue_signals,review_reasons,publication_date_evidence,adjudication_note
D023,23,2019-finite-temperature-qes,2019-finite-temperature-qes,include,publication_candidate,,2019,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions,10.1103/PhysRevB.99.205132,0c5cbb6ff5bf978d04a56f821a2cd6cded81185f213f9c52f6747402d2769bab,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D021,21,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,include,publication_candidate,,2019,Machine learning by unitary tensor network of hierarchical tree structure,10.1088/1367-2630/ab31ef,bd7ff1ffb4ea2a67be515147cef2aa4f37972129914695083188b475ffa6f567,True,first-page-citation-banner;pdf-metadata-creation-year-weak;author-confirmed-doi,citation-banner,,,
D022,22,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,include,publication_candidate,,2019,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,10.1103/PhysRevB.99.195101,d7447f5a4ef72b7246e65d07d571d8319e032c7243dcec929193b5449f6076ae,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D027,27,2020-gtnc,2020-gtnc,include,publication_candidate,,2020,Generative tensor network classification model for supervised machine learning,10.1103/PhysRevB.101.075135,1375dd349bdda3e088512cb167969a651281c63322875a921400bbb78dd52968,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
,,2020-gtnc-sm,2020-gtnc,related,supplementary_candidate,2020-gtnc,2020,Supplemental Material for ‘Generative Tensor Network Classification Model for Supervised Machine Learning’,,407877f8e5794ffb1dd3ea920670f0410a0504d031acf3054ea46b6868ed26cc,False,pdf-metadata-creation-year-weak,,supplementary-name-signal;formal-publication-evidence-not-detected,,PDF title explicitly says Supplemental Material
,,2020-ijcai子会议-gtnc,2020-ijcai子会议-gtnc,related,publication_version,2020-gtnc,2020,Generative Tensor Network Classification for Supervised Learning,,e7bf18e9d1a407b73b4fa4d93cf4f91fd2f1694afeea4c3310208d6878ebfd84,False,pdf-metadata-creation-year-weak,,possible-conference-version;formal-publication-evidence-not-detected,,Excluded from the formal-publication corpus: arXiv:1912.12923 is an earlier version of the formally published GTNC work represented by 2020-gtnc.
D025,25,2020-mps_deep_encoding_circuit,2020-mps_deep_encoding_circuit,include,publication_candidate,,2020,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,10.1103/PhysRevA.101.032310,2115b36d207b79782e4a586ea46542dfe0307c6424e77348e5512c28d0f65c7f,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
,,2020-nips子会议-tsgo,2020-nips子会议-tsgo,related,publication_version,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020,Tangent-space gradient optimization: an efficient update scheme for tensor network machine learning and beyond,,f2488f64095bc57c23184bbe2874861e033f699e1e9218ed6a5e0d877a146fec,True,first-page-physical-review;pdf-metadata-creation-year-weak,physical-review,possible-conference-version,,"Excluded from the formal-publication corpus: the PDF identifies itself as an extended abstract explaining Phys. Rev. E 102, 012152 (2020)."
D024,24,2020-paulinets-hermann,2020-paulinets-hermann,include,publication_candidate,,2020,Deep-neural-network solution of the electronic Schrödinger equation,10.1038/s41557-020-0544-y,a8eccea2d57dc66a5a6f39bf9e5a9be31472adecb5bd73775cf913b592896b00,True,first-page-doi;pdf-metadata-creation-year-weak,,,,
D026,26,2020-sawtooth,2020-sawtooth,include,publication_candidate,,2020,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,10.1103/PhysRevB.101.045133,7011b39cba5a2d95b51ad498f25e2f6944b48e1ae03dee6ea262a1619364e777,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
,,2020-sawtooth-supplementary,2020-sawtooth,related,supplementary_candidate,2020-sawtooth,2020,Supplementary Material: Reentrance of Topological Phase in Spin-1 Frustrated Heisenberg Chain,,ddaae60dcf32f0e4a10ba3c993ed32936d28b2a5343082b1946cce28671c1fb9,False,pdf-metadata-creation-year-weak,,supplementary-name-signal;formal-publication-evidence-not-detected,,PDF title explicitly says Supplementary Material
D029,29,2020-tncs-physrevresearch2033293,2020-tncs-physrevresearch2033293,include,publication_candidate,,2020,Tensor network compressed sensing with unsupervised machine learning,10.1103/PhysRevResearch.2.033293,475664c25833a534d582904740b556477fd9b7c9baa729c22ff7381054d5d254,True,first-page-doi;first-page-published-statement;first-page-physical-review;first-page-published-year,published-statement;physical-review,,,
D028,28,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,include,publication_candidate,,2020,Tangent-space gradient optimization of tensor network for machine learning,10.1103/PhysRevE.102.012152,b8116268f87e3aaee59a3b7173879a42e656e229c7304394bac03d3106e620a8,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D031,31,2021-adqc,2021-adqc,include,publication_candidate,,2021,Automatically differentiable quantum circuit for many-qubit state preparation,10.1103/PhysRevA.104.042601,5547d4e1fb841b2e493b4be371447af8708ec8129e7e20342dcc725e5ec22c41,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D037,37,2021-entanglement-feature-extraction,2021-entanglement-feature-extraction,include,publication_candidate,,2021,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,10.3389/fams.2021.716044,d0d6d807253a72950bdc9a0f398fc867eae93efbca90ccb581c77cbd6d42eab7,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,,
D036,36,2021-mpnn,2021-mpnn,include,publication_candidate,,2021,Predicting quantum potentials by deep neural network and metropolis sampling,10.21468/SciPostPhysCore.4.3.022,6e9d3b959da0b28de236a86186bf7f5e80b5b175cd4fbabe8de088b5799739cd,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,,
D033,33,2021-quantum-phase-visualization,2021-quantum-phase-visualization,include,publication_candidate,,2021,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional reduction,10.1103/PhysRevB.103.075106,4a9860c2f2094a410ea7c049ccf87a0074b2888d00b44855c5821c6b04e45362,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D030,30,2021-qubismnet,2021-qubismnet,include,publication_candidate,,2021,Deep Learning Quantum States for Hamiltonian Estimation,10.1088/0256-307X/38/11/110301,a627ff6c0e50482e61746fedbcc7387c50f025ef3141cc668bcc19da4a0be2e4,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,,
D034,34,2021-virtual-configuration-binarization,2021-virtual-configuration-binarization,include,publication_candidate,,2021,Phase identification in many-body systems by virtual configuration binarization,10.1103/PhysRevE.103.013313,00e2695b73f1d52773bd32cd1b6e709bd0d076d5ca1a57ba83721c84bd06fad7,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D035,35,2021-光量子分类器,2021-光量子分类器,include,publication_candidate,,2021,Experimental realization of a quantum image classifier via tensor-network-based machine learning,10.1364/PRJ.434217,ebd4ec5e017eba4efa9b014a10227b15fc8ac7fb57985922338fd51ad5996b98,True,first-page-doi;first-page-published-year,,,,
D032,32,2021-卢迎fgto,2021-卢迎fgto,include,publication_candidate,,2021,Preparation of many-body ground states by time evolution with variational microscopic magnetic fields and incomplete interactions,10.1103/PhysRevA.104.052413,fb1686329914242ae4158569848d1c306ebd9141eb612a6009dbdac91f8b2541,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D038,38,2022-cpl-tn特征选择-白生成,2022-cpl-tn特征选择-白生成,include,publication_candidate,,2022,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quantum Entanglement Variations,10.1088/0256-307X/39/10/100701,f30923d234b1bf72df0ae00036923d8f2f02f02f4e70f3d3197cd1423f0508a5,True,first-page-doi;pdf-metadata-creation-year-weak,,,,
D040,40,2022-functional-mps-洪瑞,2022-functional-mps-洪瑞,include,publication_candidate,,2022,Functional tensor network solving many-body Schrödinger equation,10.1103/PhysRevB.105.165116,be1d0370519487b15ee9dbaa300cc6a07ce8c5ff8aaf89fda77f6b949657d099,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D041,41,2022-rlf李伟明,2022-rlf李伟明,include,publication_candidate,,2022,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic Fidelity,10.3390/math10060940,7b136264fd3ca98be1ba57a3ab9874c6e08c076616a9aecad961cbc47fbc3d31,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,,
D039,39,2022-tn-tailoring-王顶族,2022-tn-tailoring-王顶族,include,publication_candidate,,2022,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tensor network,10.1103/PhysRevB.105.155155,f7c361337e7686cc944049e69ed634c82748472793ca528bfdf9058de2833606,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
,,2022-张量网络-封面20231120,2022-张量网络-封面20231120,exclude,non_paper_candidate,,2022,张量网络 **Tensor Network**,,,False,,,book-cover-or-copyright-page;canonical-pdf-missing,,"book cover, not a paper PDF"
,,2022-张量网络中文书封面及版权页,2022-张量网络中文书封面及版权页,exclude,non_paper_candidate,,2022,"l/ Ae \y DA‘ LA ait Nloi ww Lt P aBl @ \ °ensor Networ ae Ji Network ——.ae —— HEH ESp FLAE Sei ALS, PANT= yA.AMAR,Ka EBNFMeBe SHR,SKAFA RSRFUR, BFPSeASHROAR. CRPRICK39 i, MMSTensor Network Contractions[ (Switzerland) Springer],Ql, Q2 K SCI Hi Tl & we sast,PRL, IEEE TNNLS 337845K, fA Ri Wi AAA 2020 HeFB SBEHRS.HABARFESA. HRUREBSSA,HEME 1KAitTHAARFESH LMA AHA,BEEKARE AAW APHg|e A. RRB WHFS whet (IOPEliei Publishing)Paper Award,#1& HY Top Cited3Gt| AiR",,,False,,,book-cover-or-copyright-page;canonical-pdf-missing,,"book cover/copyright pages, not a paper PDF"
D042,42,2023-kagome-方大智,2023-kagome-方大智,include,publication_candidate,,2023,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferromagnet,10.1103/PhysRevB.107.L220401,bf7ea012eb1bd9b8630433a06afde10153338625079ccb1dcc9ffb6ef56d9dec,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D044,44,2023-luying-quvis,2023-luying-quvis,include,publication_candidate,,2023,Quantum compiling with a variational instruction set for accurate and fast quantum computing,10.1103/PhysRevResearch.5.023096,19f7ab3a075248f2193e3e3a0182852479a83bc35474fe896eccef3b155ffc9e,True,first-page-doi;first-page-published-statement;first-page-physical-review;first-page-published-year,published-statement;physical-review,,,
D045,45,2023-resmps,2023-resmps,include,publication_candidate,,2023,Residual matrix product state for machine learning,10.21468/SciPostPhys.14.6.142,70e0cfa99217420c681575222b192e386bad3c8dd11acb5dd74c0d99ee7fa9d2,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,,
D043,43,2023-schmidt-tns-prl,2023-schmidt-tns-prl,include,publication_candidate,,2023,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,10.1103/PhysRevLett.131.020403,4890a40b26a05df6b3683064380088e2141f30cc3eec1065a7a8e06c0045da19,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D046,46,2023-王顶族qes边界奇异性,2023-王顶族qes边界奇异性,include,publication_candidate,,2024,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,10.1088/2058-9565/ad038a,bc3d01d70b7f16625e50a801070aa798d82fbbe9dd4f120ac27a24d9bb8c7523,True,first-page-citation-banner;first-page-journal-header;pdf-metadata-creation-year-weak;author-confirmed-doi,citation-banner;journal-header,,,"Formal journal issue citation is Quantum Sci. Technol. 9, 015008 (2024); online publication was 26 October 2023. Formal issue year governs the corpus chronology."
,,2024-bai-nll-scaling,2024-bai-nll-scaling,exclude,publication_candidate,,2024,Universal Scaling Laws in Quantum-Probabilistic Machine Learning by Tensor Network: Toward Interpreting Representation and Generalization Powers,,,False,,,canonical-pdf-missing,,canonical paper.pdf symlink is broken; no real readable PDF in scope
D048,48,2024-luying-entanglement-prl,2024-luying-entanglement-prl,include,publication_candidate,,2024,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,10.1103/PhysRevLett.133.070402,1b5b5a341ee571973f3635b9c77805ce23b8ea7c443ec9f106c33b28523e414f,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D047,47,2024-wang-eth-inhomogeneous,2024-wang-eth-inhomogeneous,include,publication_candidate,,2024,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interactions,10.1103/PhysRevB.109.045139,278cdec807e7114e7e57c3c081ca942a570739b275567a18bf6a0f554bc92396,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D050,50,2025-adtn-nn-compression,2025-adtn-nn-compression,include,publication_candidate,,2025,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parameters,10.34133/icomputing.0123,95a243806ce1bef19d7eb1ed9f944d3a4851e6a607d56b385c0ac0692072ac65,True,first-page-doi;first-page-published-year,,,,
,,2025-bai-orthogonality-catastrophe,2025-bai-orthogonality-catastrophe,related,publication_version,2026-icomputing-qml-orthogonality,2025,Quantum-Probabilistic Machine Learning: From Catastrophe of Orthogonality to Multi-qubit Encoding,,168f7b2ee1f6fa3c35da11678661c9146dd6901acd0f96d9e14cbbb0616d7c53,False,pdf-metadata-creation-year-weak,,formal-publication-evidence-not-detected,,Excluded from the formal-publication corpus: conference version superseded here by the formally published 2026 journal article.
D049,49,2025-ifmps-hong-rui,2025-ifmps-hong-rui,include,publication_candidate,,2025,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous space addressed by a tensor network approach,10.1103/PhysRevB.111.245109,dd084482b2250529595708725d7e4bfd9b4e9478ec46508fc1e7a1f17b8efc77,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D052,52,2026-cpb-chaos-ml,2026-cpb-chaos-ml,include,publication_candidate,,2026,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational quantum circuit,10.1088/1674-1056/adeb5b,5b81fce66445db81ff0d5d82f6ed38a10fff34ed4d3fa239eb10efe097354cbb,True,first-page-doi;pdf-metadata-creation-year-weak,,,,
D055,55,2026-fdz-kagome-magnetic-platform,2026-fdz-kagome-magnetic-platform,include,publication_candidate,,2026,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic kagome antiferromagnet,10.1103/vwx9-3zwj,f219cd07ae734994395691334f23911c3b586538fd7cc9887d63212fabe92f6b,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D056,56,2026-icomputing-qml-orthogonality,2026-icomputing-qml-orthogonality,include,publication_candidate,,2026,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,10.34133/icomputing.0232,fa92e4a54eb62eaa9183d68242ffb21887a2cdd017d775f11ae34f4e592ee94c,True,first-page-doi;first-page-published-year,,,,
D053,53,2026-mpe-prl,2026-mpe-prl,include,publication_candidate,,2026,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,10.1103/6y5p-mp7q,03432ffba17b1ff4363b635076943d93a8ed4a9e67e8be20221703966a9d542d,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
,,2026-mpe-prl-supp,2026-mpe-prl,related,supplementary_candidate,2026-mpe-prl,2026,Supplemental material of “Matrix-product entanglement characterizing the optimality of state-preparation quantum circuits”,,2f45eb2287027b62dea7ed8c6a3a4f6dc69ba11a2d4fa0d38647121de8bda9be,False,pdf-metadata-creation-year-weak,,supplementary-name-signal;formal-publication-evidence-not-detected,,PDF title explicitly says Supplemental material
D054,54,2026-setn-zhu-hao,2026-setn-zhu-hao,include,publication_candidate,,2026,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,10.1103/vb4b-m5h6,aa198f9be64d5c7fea873d412d1503c9957036eca37fb736ba6ecd764c3af038,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D051,51,2026-tianda-graph-qml,2026-tianda-graph-qml,include,publication_candidate,,2026,Unveiling the nature of graphs through quantum graphon learning,10.1038/s41534-025-01141-7,0c2498e2497147420ea19049a3d63452b1eff140dafa6d4cf6725cf85b5c415b,True,first-page-doi;first-page-published-statement;first-page-journal-header;pdf-metadata-creation-year-weak,published-statement;journal-header,,PDF journal header: npj Quantum Information | (2026) 12:8,Keep 2026 as formal publication year; the 2025 substring in DOI 10.1038/s41534-025-01141-7 is not the publication year
