paper_id,work_id,year,title,title_short,primary_hub_id,secondary_hub_id,macro_domain,max_overlap
D015,2017-cruezphysrevx7031057,2017,Exploring Interacting Topological Insulators with Ultracold Atoms: The Synthetic Creutz-Hubbard Model,Exploring Interacting Topological Insulators with Ultracold Atoms: The Synthetic Creutz-Hubba...,,,unmapped,0
D016,2018-kagome-chenxi,2018,Thermodynamics of spin-1/2 Kagomé Heisenberg antiferromagnet: algebraic paramagnetic liquid and finite-temperature phase diagram,Thermodynamics of spin-1/2 Kagomé Heisenberg antiferromagnet: algebraic paramagnetic liquid a...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/张量重正化群及可微变体,TN-core,6
D017,2018-emergent-spin-1-trimerized-valence-bond-crystal,2018,Emergent spin-1 trimerized valence bond crystal in the spin- <sup>1</sup> Heisenberg model on the star lattice,Emergent spin-1 trimerized valence bond crystal in the spin- <sup>1</sup> Heisenberg model on...,academic/wiki/hubs/价键固体与价键晶体,academic/wiki/hubs/PEPS/PESS 表示及高维推广,many-body,2
D018,2018-csw-physrevb98085111,2018,Controlling the phase diagram of finite spin-$\frac{1}{2}$ chains by tuning the boundary interactions,Controlling the phase diagram of finite spin-$\frac{1}{2}$ chains by tuning the boundary inte...,academic/wiki/hubs/Heisenberg 反铁磁模型,academic/wiki/hubs/PEPS/PESS 表示及高维推广,many-body,1
D019,2018-pc-epjb,2018,Exotic entanglement scaling of Heisenberg antiferromagnet on honeycomb lattice,Exotic entanglement scaling of Heisenberg antiferromagnet on honeycomb lattice,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/纠缠熵与纠缠谱诊断,TN-core,3
D020,2018-091彭程,2019,时间矩阵乘积态理论及其应用,时间矩阵乘积态理论及其应用,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,2
D021,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,2019,Machine learning by unitary tensor network of hierarchical tree structure,Machine learning by unitary tensor network of hierarchical tree structure,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/纠缠熵与纠缠谱诊断,TN-core,3
D022,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,2019,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,academic/wiki/hubs/Heisenberg 反铁磁模型,many-body,3
D023,2019-finite-temperature-qes,2019,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitra...,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,3
D024,2020-paulinets-hermann,2020,Deep-neural-network solution of the electronic Schrödinger equation,Deep-neural-network solution of the electronic Schrödinger equation,academic/wiki/hubs/神经网络求解电子薛定谔方程,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,quantum-AI,4
D025,2020-mps_deep_encoding_circuit,2020,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,2
D026,2020-sawtooth,2020,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,academic/wiki/hubs/张量重正化群及可微变体,,TN-core,1
D027,2020-gtnc,2020,Generative tensor network classification model for supervised machine learning,Generative tensor network classification model for supervised machine learning,academic/wiki/hubs/纠缠熵与纠缠谱诊断,academic/wiki/hubs/PEPS/PESS 表示及高维推广,many-body,1
D028,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020,Tangent-space gradient optimization of tensor network for machine learning,Tangent-space gradient optimization of tensor network for machine learning,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,1
D029,2020-tncs-physrevresearch2033293,2020,Tensor network compressed sensing with unsupervised machine learning,Tensor network compressed sensing with unsupervised machine learning,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/局域与双体纠缠熵及面积律,TN-core,2
D030,2021-qubismnet,2021,Deep Learning Quantum States for Hamiltonian Estimation,Deep Learning Quantum States for Hamiltonian Estimation,academic/wiki/hubs/一维量子自旋链与基态,academic/wiki/hubs/Heisenberg 反铁磁模型,many-body,2
D031,2021-adqc,2021,Automatically differentiable quantum circuit for many-qubit state preparation,Automatically differentiable quantum circuit for many-qubit state preparation,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/量子与变分蒙特卡洛方法,many-body,3
D032,2021-卢迎fgto,2021,Preparation of many-body ground states by time evolution with variational microscopic magnetic fields and incomplete interactions,Preparation of many-body ground states by time evolution with variational microscopic magneti...,,,unmapped,0
D033,2021-quantum-phase-visualization,2021,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional reduction,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional...,,,unmapped,0
D034,2021-virtual-configuration-binarization,2021,Phase identification in many-body systems by virtual configuration binarization,Phase identification in many-body systems by virtual configuration binarization,academic/wiki/hubs/张量重正化群及可微变体,academic/wiki/hubs/PEPS/PESS 表示及高维推广,TN-core,1
D035,2021-光量子分类器,2021,Experimental realization of a quantum image classifier via tensor-network-based machine learning,Experimental realization of a quantum image classifier via tensor-network-based machine learning,academic/wiki/hubs/纠缠熵与纠缠谱诊断,academic/wiki/hubs/PEPS/PESS 表示及高维推广,many-body,1
D036,2021-mpnn,2021,Predicting quantum potentials by deep neural network and metropolis sampling,Predicting quantum potentials by deep neural network and metropolis sampling,academic/wiki/hubs/神经网络求解电子薛定谔方程,,quantum-AI,1
D037,2021-entanglement-feature-extraction,2021,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/局域与双体纠缠熵及面积律,TN-core,3
D038,2022-cpl-tn特征选择-白生成,2022,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quantum Entanglement Variations,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quan...,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,,many-body,2
D039,2022-tn-tailoring-王顶族,2022,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tensor network,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tens...,academic/wiki/hubs/张量重正化群及可微变体,,TN-core,3
D040,2022-functional-mps-洪瑞,2022,Functional tensor network solving many-body Schrödinger equation,Functional tensor network solving many-body Schrödinger equation,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/PEPS/PESS 表示及高维推广,TN-core,4
D041,2022-rlf李伟明,2022,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic Fidelity,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic...,,,unmapped,0
D042,2023-kagome-方大智,2023,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferromagnet,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferro...,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/价键固体与价键晶体,many-body,2
D043,2023-schmidt-tns-prl,2023,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/纠缠熵与纠缠谱诊断,TN-core,2
D044,2023-luying-quvis,2023,Quantum compiling with a variational instruction set for accurate and fast quantum computing,Quantum compiling with a variational instruction set for accurate and fast quantum computing,,,unmapped,0
D045,2023-resmps,2023,Residual matrix product state for machine learning,Residual matrix product state for machine learning,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,2
D046,2023-王顶族qes边界奇异性,2024,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,academic/wiki/hubs/PEPS/PESS 表示及高维推广,academic/wiki/hubs/Heisenberg 反铁磁模型,many-body,2
D047,2024-wang-eth-inhomogeneous,2024,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interactions,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interac...,academic/wiki/hubs/纠缠熵与纠缠谱诊断,academic/wiki/hubs/PEPS/PESS 表示及高维推广,many-body,1
D048,2024-luying-entanglement-prl,2024,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,academic/wiki/hubs/纠缠熵与纠缠谱诊断,,many-body,2
D049,2025-ifmps-hong-rui,2025,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous space addressed by a tensor network approach,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/关联长度与最近邻关联诊断,TN-core,2
D050,2025-adtn-nn-compression,2025,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parameters,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parame...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/张量网络方法与机器学习,TN-core,5
D051,2026-tianda-graph-qml,2026,Unveiling the nature of graphs through quantum graphon learning,Unveiling the nature of graphs through quantum graphon learning,,,unmapped,0
D052,2026-cpb-chaos-ml,2026,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational quantum circuit,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational...,academic/wiki/hubs/msQFM 及其编码方案,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,quantum-AI,1
D053,2026-mpe-prl,2026,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/PEPS/PESS 表示及高维推广,TN-core,3
D054,2026-setn-zhu-hao,2026,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/Heisenberg 反铁磁模型,TN-core,2
D055,2026-fdz-kagome-magnetic-platform,2026,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic kagome antiferromagnet,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic k...,academic/wiki/hubs/关联长度与最近邻关联诊断,academic/wiki/hubs/纠缠熵与纠缠谱诊断,many-body,4
D056,2026-icomputing-qml-orthogonality,2026,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/msQFM 及其编码方案,TN-core,3
